id,name,score,March 2019 w/ Digital Rights Reviewer,March 2019,February 2019,January 2019,December 2018
1123,Decentus,TMYUI,22,35,undefined,undefined,undefined
1123,Decentus,DR,34,undefined,undefined,undefined,undefined
940,Cineflick,Total,24,28,26,20,undefined
940,Cineflick,DE,35,35,34,33,undefined
940,Cineflick,PH,47,47,41,34,undefined
940,Cineflick,TMYUI,21,22,8,1,undefined
940,Cineflick,DR,1,undefined,undefined,undefined,undefined
616,Afari,Total,25,17,16,6,4
616,Afari,DE,17,17,18,14,8
616,Afari,PH,13,13,21,12,5
616,Afari,TMYUI,38,44,42,20,undefined
616,Afari,DR,47,undefined,undefined,undefined,undefined
755,Block Photos,Total,26,23,27,32,27
755,Block Photos,DE,30,30,29,26,23
755,Block Photos,PH,26,26,26,21,16
755,Block Photos,TMYUI,26,14,19,37,undefined
755,Block Photos,DR,1,undefined,undefined,undefined,undefined
239,Entaxy,Total,27,18,23,16,7
239,Entaxy,DE,24,24,23,22,11
239,Entaxy,PH,16,16,29,23,11
239,Entaxy,TMYUI,13,13,29,23,undefined
239,Entaxy,DR,42,undefined,undefined,undefined,undefined
1042,Blockcred,Total,28,24,10,undefined,undefined
1042,Blockcred,DE,18,18,2,undefined,undefined
1042,Blockcred,PH,32,32,16,undefined,undefined
1042,Blockcred,TMYUI,41,38,35,undefined,undefined
1042,Blockcred,DR,34,undefined,undefined,undefined,undefined
1087,Radicle,Total,29,40,undefined,undefined,undefined
1087,Radicle,DE,43,43,undefined,undefined,undefined
1087,Radicle,PH,48,48,undefined,undefined,undefined
1087,Radicle,TMYUI,23,28,undefined,undefined,undefined
1087,Radicle,DR,1,undefined,undefined,undefined,undefined
869,Aodh,Total,30,33,31,46,undefined
869,Aodh,DE,7,7,7,37,undefined
869,Aodh,PH,40,40,37,33,undefined
869,Aodh,TMYUI,23,42,9,40,undefined
869,Aodh,DR,34,undefined,undefined,undefined,undefined
174,Stealthy,Total,31,20,17,13,2
174,Stealthy,DE,4,4,4,2,2
174,Stealthy,PH,23,23,42,35,12
174,Stealthy,TMYUI,44,37,21,39,undefined
174,Stealthy,DR,42,undefined,undefined,undefined,undefined
1018,Blockslack,Total,32,39,42,26,undefined
